,Title,Rating,Description,Website,Address,Phone
25,Unite Strangers,4.4,"Unite Stranger's curates short weekend get-away plans and experience of a lifetime for you, on every weekend. A lot of activities with people of similar interests whom you don't know yet. They combine a group of solo travelers, complete strangers to one another and that is where the fun begins.",https://unitestrangers.com/,+91 98968 13180,
26,Grassroutes,4.1,"Grassroutes is a brand that brings you the most authentic rural tours across India. With working towards providing employment to the rural people and simultaneously working towards conserving the environment via tourism is what Grassroutes thrives to aim. Currently, they are operational in 4 states - Maharashtra, Madhya Pradesh, Andhra Pradesh and Gujarat.",http://www.grassroutes.co.in,088794 77437,
27,Camp Monk,3.9,"From Hiking to Camping to Wildlife to Kayaking, name an adventure activity and Camp Monk has got you covered. They bring you the most exciting adventurous getaways and traveling options primarily across southern part of India. ",https://campmonk.com,+919590495495,
28,SpinMonkey,4,"Spin Monkey organises amazing city tours. The catch being? CYCLE TOURS. Their expertise lies providing unique, eco-friendly travel experiences while exploring the Capital of India, meeting new people, and staying fit!",http://www.spinmonkey.in/,"117 Deepshikha Building, Rajender Nagar New Delhi- 110008",Also Available in: Delhi
29,The Hidden Hour,3.8,he Hidden Tour in Gurgaon provides one of the most challenging and thrilling adventure that ensures a bounty of challenges and adrenaline rush. The game lets you escape for an hour or so and lets you overcome a couple of challenges and win the game!,http://www.spinmonkey.in/,"2nd Floor, Shop No. 50, MGF Metropolis Mall, Mehrauli-Gurgaon Rd, Sector 28, Gurugram, Haryana 122002, India",8384071326
30,The Trippers,3.8,The trippers are a new way to explore the world and have new experiences. They travel to different places and make you have a nice experience. They organize comfortable trips so that you could enjoy and relax. They provide cheap travelling options in different parts of the world.,https://thetrippersblog.wordpress.com/,"Palika place, Annexe 24, Panchkuian Marg, New Delhi, Delhi 110001, India",8826962256
31,Astroport Sariska,3.9,"Astroport resort in Sariska is first of it’s kind in India. Situated near Aravalli Range in Alwar district of Rajasthan, the resort combines astronomy with adventure, and gives you experiences that no place in India can impart.",http://astroportsariska.com/,"Astroport India Pvt Ltd. WZ-19 Asalatpur, A-3 Block, Janak Puri New Delhi - 110058 (near Janakpuri west metro station)",Also Available in: Rajasthan
32,Signature Tours,3,Signature tours is a travel company that helps you plan your foreign trip in an easy and hassle free way. The idea of the company is to take you to parts of the world and gives you a chance to be a part of something exciting and create new stories. They help you plan trips and get new experiences.,https://www.signaturetours.in/china-lp/,"Creative Plaza, 283 Udyog Vihar Phase 2 New Delhi",01244567777
33,Unpland ,3.9,"Unpland is one epic traveling agency that strives to take you to experiences and journeys that’ll surprise you. They won’t even tell you the destination, they’ll just take you to one place that promises to reinforce your faith in life, in yourself and give you that unforgettable adrenaline rush. ",http://unpland.in/,"A 22, Second Floor, Green Park, New Delhi - 110016",+91-9967704257
34,Ultimate Frontier Outlands ,3.8,"Ultimate Frontier Outlands is dedicated to taking people to the most distant and isolated frontiers across the world, to the edge of civilization.",https://www.ufoadventuretravel.com/,"47, Green Valley Jakhan, Dehra dun-248001 India",+91 9756600449; +91 7599060449
35,Jumpin Heights ,3.8,India's First Extreme Adventure Zone. With India's highest Bungee Jumping Platform that comes with world-class safety and assurance of adrenaline rush. ,http://www.jumpinheights.com/,07830294242 / 07830404067,
36,AGL Stables,3,"AGL Stables are one of a kind stables available in all of North India. With riding classes, races and riding tours, they provide a whole new definition for adventure for Delhiites!",http://www.jumpinheights.com/,"B-7 Farm, Bhatti, Chattarpur New Delhi",098117 11213
37,Sky High,3,Come jump with India's first commercial skydiving drop zone situated in Aligarh which is a 2 hour drive from Delhi. ,http://www.skyhighindia.com/,"B-126, Yashwant Place, Chanakyapuri New Delhi – 110021, India",
38,The Wild Cone ,4,"They belong to mountains. Conduct #trekking trips, #camping & #adventure activities in #Kullu-#Manali, Himachal Pradesh. They deliver what they promise.",http://thewildcone.com/,+91 9816252214,
39,Jamtara Wilderness Camp,4,"Situated in the village of Jamtara, near Pench National Park, Jamtara Wilderness Camp is a luxury tented property that is destined to take your breath away!",http://www.jamtarawilderness.com/,"Pench National Park, Village Jamatra, District Chindwada, Madhya Pradesh 480110, India",
40,Wego,4,"Wego helps you save time, pay less, travel more using their comprehensive travel metasearch engine to display the best hotels & flights in 1-click.",https://www.wego.co.in/,"3164, 2nd Floor, “SS Konerira” ESI-Domlur Service Road HAL 2nd Stage, Indiranagar Bangalore – 560008",80 4096 1098
41,Trek a tribe ,5,"They organise Trekking, Adventure, Camping, Road Trips, Couple Tours in various parts of the Himachal Pradesh. We also offer various Day Hikes and other Sightseeing to numerous Unexplored Places.",http://www.trekatribe.com,"Shimla, Himachal Pradesh, India",+91 98054-40456
42,India Hikes ,4,"Indiahikes is primarily a trek documentation organization. They explore, write and document treks. They do this in great detail so that everyone can organize their own treks.",https://indiahikes.com,"139, Defense Colony Road, Sahakarnagar, Bangalore 560092 (1,063.37 mi) Bangalore, India 560092",080 3951 1400
43,Fitster Five ,4,We at Fitster5 are passionate about creating exciting new products & experience across spectrum for all you fitness enthusiasts! ,https://fitster5.com,,
44,The Handle Bars ,4,"Handle Bars are a community of adventure seekers who love to cycle, ski, surf, trek etc. Each ride is different, each experience is different, and it brings a feeling of happiness and appreciation only a person riding can explain. Travel and explore!",http://thehandlebars.in/,,099726 62506
45,BigCats Forest Camp ,5,Big Cats Camp is the perfect break from hectic work schedules and never-ending powerpoint presentations.,http://bigcatcamp.com,"Big cats camp, Nohradhar Sirmour, India", 072177 66210
46,Brio Art house,4.5,"The hands and heart behind Brio Art House & Cafe is of a self-taught artist, Ankita Jaiswal who always found her art with allowance to communicate without words. Reviving the art and culture of 'Oudh' in a modernised way, creations by Aj. bind you with emotions into stories and art around us, amidst healthy & delicious food to savour.
",https://brioarthouse.com/brio-store/,"Junabganj, Katibagiya,Katibagiya 226401",7081777778
47,Zorba the Buddha,4.4,"Zorba the Buddha is one of the largest open faith spiritual centers in the world fostering creative and spiritual growth. It presents a variety of wellness modules in close communion with nature. Zorba also shares its space for your programs.
",http://zorbathebuddha.org,"7, Tropical Drive, Ghitorni, New Delhi, Delhi 110030", 0116565 7265
48,TravelTroovel,4,TravelTroovel offers interest-based trips. Each trip has an interest as a theme. We are merging travelling with interests and hobbies to add another dimension to the existing travel plans and make them exciting.,https://www.traveltroovel.com,"Sector 11 Dwarka, Dwarka, Delhi, 110075",9999178668
49,The Art People,3.8,"They are a collective creating, customizing, printing & framing, monochromatically (with occasional bursts of color) beautiful wall art, which speaks to you. Quirky, cool & chic minimal designs made for your trendy home.",https://natty.in,"Center stage mall, Ashok Marg, Noida, Uttar Pradesh 201301",8296746143
50,Jewel Beauty Creation,3.8,"We provide the best makeup and mehandi artist in Rishikesh Dehradun. We do everything to make you and your special occasion great, be it Makeup, Skin and Hair Treatment etc.",https://trustvardi.sfo2.digitaloceanspaces.com/images/1562670686974slide-3.pdf,"Rishikesh, Uttarakhand, India",Also Available in: Rishikesh & Dehradun
51,Doodle Kit Project,4.5,"Get the powerful tools to push and unleash your creativity with Doodle Kit Project. They also organize workshops to make you start doodling and carry on with your unique imagination. They believe ""you do not need to be an artist to be creative"" and that's true. Explore your creative side with them.",https://doodlekitproject.com/,,
52,Art by Shaheen,3.8,"Internally driven and emotionally charged, Shaheen is enthusiastic and spontaneous, in person and on canvas. Today, Shaheen’s work is a bold mix of styles, ranging from more commercial abstract paintings and contemporary mixed media artwork, to more naturalistic and representational portraits and forms. ",http://www.artbyshaheen.com/,,
53,The Yarn Story,3.8,"The Yarn Story translates contemporary designs & ideas into fine fabrics, thoughtfully crafted for the modern Indian. Inspired by art & travel designs are a sweet blend of warm colors and young prints creating a unique collection of home & lifestyle products.",https://theyarnstory.com,"The Yarn Story 1B Standard House, 83 Queens Road, Mumbai 40000",Also Available in: Mumabi
54,Duet Luxury,4,"Duet luxury brings out of the box hand crafted accessory designs for you. Wood, leather and glass fused appealing luxury products which will enhance your classy look. Duet is original, futuristic and functional.",https://www.duetluxury.com/?v=c86ee0d9d7ed,"11/3h Canal Circular Road, Ultadanga, Kolkata-700067",Also Available in: Kolkata
55,Paperkami,3.8,"Our Intricate designs, exquisite collections, jaw-dropping pop-ups and impeccable craftsmanship is what Paperkami stands for. Each piece is a laser cut hand assembled design keeping in mind all the environment friendly factors.
",https://paperkami.com/,"A-5, Mayapuri, Phase -1 2New Delhi , 110064",09354853979
56,NIIAASHI,3.8,"The designer duo Ashveen Kaur and Nikita Puri collaborated to start a design perception driven by their core belief of minimalism, simplicity and versatility. Both coming from different educational backgrounds of architecture and law got together to create a brand that was driven by their inveterate fondest towards fashion. With a dream of creating a brand that would become an influence in the realm of fashion, NIIAASHI was create.",https://niiaashi.com/,9108552594 ,
57,Ekaya,3.8,"Ekaya is a contemporary, bespoke brand presenting the finest works of Banarasi art from the Indian craftsman’s repertoire.The brand was established with the vision to change the way handloom textiles are sold and presented in India, with the aim towards reinforcing and asserting the traditional textile's place in fashion's luxury platform.",https://www.ekaya.in/,"Delhi D7 Defence Colony, New Delhi 110024",+919560467124
58,Freakala,3.6,"Shivanika Raghav, who is the face behind Freakala is an artist and certified expressive art and movement-based therapist, who holds arts & craft workshops around the city and upcycles products like denims into quirky fashion statements.",https://www.ekaya.in/,"Freakala, Service Road, Noida 201303 UP, India", 088602 66631
59,MATSYA,3.8,"Born in the inspiration of royal living, we welcome you to MATSYA. Years of fine craftsmanship, richness in aesthetic and flamboyance in appeal come together to give birth to MATSYA. Made for the princess in disguise, royal humility at heart of a simple life lived in the strength of mind. From dreams of longing, we gift this story, to every girl, who was born to feel like a princess.",http://www.matsyaworld.com/index.php,"The Flagship Studio, B-81, 1st Floor, Naraina Industrial Area - Phase 2 New Delhi - 110028",+91 9599777781
60,The Decor Kart,3.8,"Our mission at The Decor Kart has always been to surprise and delight you with unexpected, distinctive finds for your home. We source and craft all our products with care, ensuring that any treasure you find at The Decor Kart is unique, just like you.",https://thedecorkart.com,"Showroom No. 3 New Main Main Market, Block B, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017, India",9811338191
61,Artykite,5,"Do you always struggle to find a unique and meaningful gift for your loved ones? At Artykite, we create inspirational and beautiful Home decor products & Merchandise based on Poetry and literature. Literature and Poetry can make everything beautiful and when accompanied by good art, it only gets perfect. ",https://www.artykite.com/,"N 81, Connaught Place, Block N, Connaught Place, New Delhi, Delhi 110001, India",9953002138
62,Great Banyan Art,3.5,"Great Banyan Art' is named after the Banyan tree, which is regarded as a symbol of wisdom and knowledge.The Banyan Tree is known to have deep and widespread roots, signifying strength. 'The Great Banyan tree' is recognised to be the largest amongst the Banyan trees - it is over 250 years old and has survived and withheld the ravages of time and inclement weather. Metaphorically speaking, this represents our brand's mission: long term commitment and vision.",http://www.greatbanyanart.com,new delhi,
63,Bombay Lettering,4,"Bombay lettering is an boutique calligraphy and lettering studio bringing back the appreciation,warmth and the love of handmade and hand rendered script", https://bombaylettering.com,"173 A, Maker Towers, Cuffe Parade Mumbai​ 400005",+919820216173
64,Mi Casa Collective,3.5,"Mi Casa collective store is your one-stop shop for all art, home decor, and lifestyle products. It has a range of colorful and whimsical products.", https://bombaylettering.com,M-1 Hauz Khas New Delhi,8929336152
65,The Studio Project,3.7,Kanika Ranka is an artist who majors in experimentation. The interdisciplinary nature and nonexistence of boundaries is what attracted her to the world of Art and Design. ,http://www.kanikaranka.com/,+91-9870031839,
66,Card Affairs,3.7,Bringing back the era of handwritten messages with quirky greeting cards and love letters giving a creative feel to emotions. They also cater to personalisation craze and make gifting a lot more fun.,http://www.cardaffairs.in/," 31, Ground Floor, Navyug Nagar 2,, Forjett Hill Road, Tardeo, Mumbai 400036 Mumbai, Maharashtra 400001","Also Available in: HQ at Mumbai, Shipping all over India"
67,Teamwork Arts,4.5,"Teamwork Arts showcases the culture of India to the world. It is a highly versatile production company with roots in the performing arts, social action and the corporate world. They present the finest of Indian performers, writers and visual artists in the cultural and art space in India and abroad.",http://teamworkarts.com/,"Mansarovar Building, Khasra No-366 Min, Village Sultanpur, MG Road Delhi, India 110030", 011 2680 1430
68,Rameshwaram Arts ,3.7,"Rameshwaram Arts and Crafts company showcases the art of classic interiors and exclusive design of furniture and accessories. They can also manufacture any item as per the requirements of the customers, taking pride in the flexibility and creativity of their highly talented artisans. ",www.rameshwaramarts.co.in/,"22, RMV Compound, Dr. B.L. Margh, Gulab Bagh Road, Udaipur, Rajasthan 313001","Also Available in: Udaipur, Rajastha"
69,Pieces- For Beautiful Places,4.2,Pieces for Beautiful Places offers the art pieces that will make you happy and space cozy. All the designs are out of the box with lots of colors. They create custom art pieces for special occasions.,www.rameshwaramarts.co.in/,"2, Gandhi Square. Delhi,India - 110007",Also Available in: world wide
70,Graphicurry ,4.8,"Graphicurry Artwork Store by Prasad Bhat brings forth a unique form of authentic art, hand drawn digital caricatures. This art store offers a vast eclectic collection of designs that has been catering to clients from pan India who come from all genres of services and products. ",https://www.graphicurrystore.com,"503, Block C, Aishwarya Lake View, 6th Cross, Kaggadasapura, Bangalore 560093",Also Available in: Bengluru
71,Glue&sew,5,"Glue&sew will be there with a whole range of new products totally handmade with magical love potion. Live music, art installation, fesh food, live art corners, DIY session and many more elements await you on the 4th of Feb. Don't miss the first every street art festival in Kolkata",https://lbb.in/kolkata/GlueSew-Unicorn-Street-Art-Festival18-6f6699/,91633 78822,
72,Dale + Co.,4,"Dale + Co., named after two lovely dogs (Dale and Cooper), is a brand that provides you with global handicrafts with a noble aim to bring worldwide craftsmanship to India - which are accessible, affordable and matches your taste and utility.",https://www.daleandco.in/,,
73,Mooch ,4,"Started off in August 2015 by Shubham Singhania, Mooch endeavours to offer creatively designed diaries that are a conversation starter and an art in themselves. The diaries here ditch the plain concept of “regular” notebooks and instead, deploys a more aesthetic approach to it. In lieu of this, Mooch diaries are made of Indian khaki paper to give the diary a Vintage feel to it. ",https://www.daleandco.in/,"Mooch Design Studio, B-102, Darshan Classic, Next to PMC Bank, JB Nagar, Andheri East, Mumbai",088507 01966
74,The Noizzy Box ,3.5,The Noizzy Box is a brand of NRJ Ventures and is touted to be one of the most trusted and designer speakers that’ll make you look more stylish than ever before. ,http://noizzybox.in," Prince Plaza, Pantheon Rd, Egmore, Chennai, Tamil Nadu 600008",+91 8039664735
75,Canvas Laugh Club,4.2,"Canvas Laugh Club is renowned for its stand-up shows. The company has been working with some of India’s finest comedic talent to present fresh content. Canvas Laugh Club makes for the ultimate destination to spend one's evening, to experience exquisite theatre performances like the Vagina Monologues, Improv Comedy, and much more.",https://canvaslaughclub.com/," The People & Co. Ground Floor, CyberHub Gurgaon, Haryana","Also Available in: Mumbai, Gurgaon & Noida"
76,HaraMe Company ,3.6,Hara Me Company works across landscape design and urban ecology. We facilitate the re-connection between the constructed and the natural within our cities.,https://canvaslaughclub.com/,,
77,The Fairy Dust Studio ,4,"Headed by Sahej Pasricha, the brand essentially takes inspiration from whimsical boutiques and fluently infuses them into home accessories, stationery, vintage markets and more. The stationery from The Fairy Dust Studio is what dreams are made of. Think pastel colours, small prints and designs elegantly crafted & deployed to give you a treasure of a lifetime.
",https://canvaslaughclub.com/,,
78,All About Eve ,3.5,"A platform that understands the needs and requirements of an independent working woman, All About Eve offers vendor offerings to help these women live better & make great choices everyday!",https://allabouteve.co.in/,"Plot 16, Sector 135, Noida, Uttar Pradesh 201304",
79,Bageecha ,3,"The finest weavers of Banaras come together at Bageecha to design and innovate the most exquisite Banarasi designs. Handcrafted with Love.
",https://allabouteve.co.in/,"87-B, Baba House, Shahpur Jat, Siri Fort, New Delhi",+911149065769
80,Culture Chauraha ,4,"An art studio dedicated to teaching and promoting the arts & crafts. Working on art projects for more than 32 years, Cultue Chauraha introduces your creative side to you.",https://www.culturechauraha.com,"A-13, Block A, Gulmohar Park, Delhi, 110049",Also Available in: New Delhi
81,UM Motorcycles India,4,UM Motorcycles shares a rich American heritage and since its inception has been constantly innovating and creating machines that provide exceptional transportation to consumers.,https://www.uml.co.in/,"A - 79, Okhla, DDA Shed, Industrial Area, Phase - 2 Delhi, India",011 4102 2054
82,Team-BHP.com,3.8,"Team-BHP is where car owners & enthusiasts come together to form a collective force; a community of, by and for Indian petrol-heads. It is the most comprehensive and only unbiased information resource on the automotive scene. This is the home of Indian petrol-heads.",https://www.team-bhp.com/,"Team-BHP, Stadium House, V N Road, Churchgate, Mumbai - 400 020",Also Available in: Mumbai
83,BMW Deutsche Motoren,4.5,"BMW Deutsche Motoren proudly boasts its association with BMW India as being the oldest dealer in the National Capital Region (NCR). Contact them for car sales, service & pre-owned BMW Cars.",https://www.bmw-deutschemotoren.in/,"Plot No.1, Sector- 27B 121003 Faridabad",0129 426 9000
84,Droom,4.6,"Droom is an online marketplace for buying and selling automobiles. It provides online assistance and consultation regarding the purchase and sale of cars and automobiles for Buyers & sellers. Using disruptive approach and data science. Droom makes each transaction transparent, easy, quick & trustful.",https://droom.in/,"40A/5 Sector 15, Part 2, Chandan Nagar, Gurugram, Haryana 122001",1800 407 070707
85,CarTrade.com,3.8,"At CarTrade.com you can search lakhs of new and used cars for sale across India. Research cars by prices, comparisons, reviews, pictures for making the right decision. Experts view and review of exciting upcoming models in the market guide and help buyers choose the best option.",https://www.cartrade.com/," 1st Floor, Above Tata Motors Showroom, Unit No.11 & 12,1096A Appasaheb Marathe Marg, Prabhadevi, Mumbai 400025, Maharashtra, India",022 6129 1700
86,Zoomcar,2,"The mastermind behind the launch of Zoomcar in 2013 is an American Duo, David Back and Greg Moran. Zoomcar let's you rent the car as per for need at reasonable cost with no hidden charges. This five-year old self-drive car rental startup has also laid a stone of their new program, Zoomcar Associate Programme (ZAP), which lets shoppers own their beau on Company’s behalf and still earn by renting them when not used.",https://www.zoomcar.com,"7th Floor, Tower-B, Diamond District, 150, HAL Airport Road, Kodihalli, Bengaluru, Karnataka 560008, India",Also Available in: All major cities across India
87,HYPE Luxury Car Rentals,2.4,"Hype is a cool mobile app and website for consumers who seek to ride super luxury cars or rent them out. You can choose from some of the famous elite class cars in the world. And trust us when we say, these are no ordinary cars. They are the best among the best and they are ready to be driven around by you. ",https://www.gohype.in/,"HYPE TECHNOLOGIES, Bilekahalli, Bannerghatta Road BANGALORE 560076",8884023355
88,HeyDom,3.8,"With HeyDom, rent a ride, as and when required, and save yourself a fortune!",https://heydom.in,"No.446/A, 1st A cross, 12th Main, 4th Block, Koramangala Bangalore, India",
89,Automen,4.7,Watch your car get serviced in front of your eyes within 90 minutes by India's first completely doorstep car servicing solution who also offer preventive maintenance services for your car anywhere.,https://automen.in/," B-156, DDA Shed, Okhla Phase 1 New Delhi",
90,Spinny,4,"A dedicated online marketplace for used cars who help masses realize their dream of owning a good car in an absolutely trustworthy and hassle-free way
",https://www.myspinny.com,"204, ABW Towers, Iffco Chowk, Gurgaon.",8010100900
91,My Pitstop ,4,My Pit Stop is a door-to-door car care service that ensures your car continues to look exactly the way you love it.,http://mypitstop.in/,,022 – 65232233
92,The White Door,4,"The White Door stands for purity, hygiene, transparency, and perfection. Right from our flagship spa in Bandra, we aim to redefine the way the city views ‘premium care’ by curating the finest bespoke services, along with the highest international standards in hygiene and ultra-high-end beauty products sourced from across the globe. From manicures, pedicures and nail art to bespoke facials and exclusive consultations delivered by the most skilled technicians, we have designed every detail to pamper your individual needs.",http://www.thewhitedoor.in," 8, Waterfield Road, Bandra West, Mumbai, Maharashtra 400050",7400438834
93,Ayca,3.9,"Ayca is a natural paraben-free bath and wellness brand. At Ayca, we create products that have been recreated painstakingly with the purest of nature’s ingredients and extracted oils. Our commitment is to preserve our ancient crafts and offer a holistic approach to refresh, replenish and revitalize.​",https://www.ayca.in/," 86-B, Second Floor, Shahpur Jat, New Delhi, Delhi 110049",9818204268
94,PROLIXR,4.4,"Prolixr’s Vision is to be the most trusted prestige beauty brand in the world, with market leadership and authority in dermatological skincare and foundation. From the very beginning, they want their clients to recognise them as the smart choice, always innovating to deliver high quality, effective, safe, allergy tested products that are designed for living and enhancing natural beauty, every day. They believe in the value of Natural and Premium ingredients to achieve long-lasting healthy glowing skin.",https://prolixr.in/,"Maxinique Solution LLP, A-301, South City 1, Gurugram, Haryana ",9999654442
